date,18:00,19:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,38.90000,38.70000,38.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,37.10000,37.10000,36.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,34.30000,34.40000,33.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,38.50000,38.70000,38.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,38.00000,37.30000,37.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,43.40000,42.80000,42.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,44.40000,44.20000,43.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,52.10000,51.40000,51.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,40.60000,39.50000,41.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,41.80000,40.80000,36.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,45.00000,43.60000,41.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,46.40000,45.30000,44.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,46.10000,45.70000,38.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,44.00000,43.60000,43.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,41.90000,40.90000,40.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,42.00000,41.80000,41.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,39.20000,39.00000,37.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,44.10000,43.70000,43.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,46.40000,45.50000,45.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,43.70000,43.70000,43.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,45.80000,44.70000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,44.80000,45.10000,44.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,44.10000,44.10000,43.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,43.70000,38.30000,38.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,42.20000,42.70000,42.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03,45.20000,44.40000,44.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,44.90000,45.20000,44.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,49.50000,48.80000,47.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,38.40000,46.80000,45.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,37.20000,36.40000,35.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,32.30000,28.80000,28.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,44.90000,44.20000,43.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,49.10000,41.00000,39.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11,41.50000,41.40000,41.40000,,,,,,,,,,,,,,,,,,,,,,,,,
